id_estudiante,edad,genero,horas_estudio_dia,horas_redes_sociales,netflix_hours,trabajo_medio_tiempo,porcentaje_asistencia,horas_sueno,calidad_dieta,frecuencia_ejercicio,nivel_educacion_padres,calidad_internet,nivel_salud_mental,participacion_extracurricular,nota_examen
S1243,17,Femenino,4.6,2.2,1.7,No,85.2,7.6,Regular,2,Bachelor,Regular,8,No,87.3
S1244,23,Masculino,5.0,4.5,2.3,No,87.2,7.7,Buena,6,Secundaria,Regular,8,No,98.0
S1245,22,Femenino,2.4,4.1,0.0,No,80.5,6.1,Regular,1,Bachelor,Regular,3,Si,47.9
S1246,17,Masculino,1.4,0.9,2.6,Si,83.0,4.4,Mala,3,Bachelor,Buena,8,No,51.0
S1247,17,Femenino,5.8,3.5,1.9,No,88.7,8.8,Regular,1,Bachelor,Buena,8,Si,90.0
S1248,17,Femenino,3.0,3.5,1.6,No,95.4,6.4,Regular,3,Secundaria,Buena,3,No,54.1
S1249,19,Femenino,3.1,1.1,4.1,No,65.4,5.6,Buena,3,Secundaria,Buena,10,Si,58.4
S1250,22,Masculino,5.5,3.5,1.1,Si,81.3,7.0,Buena,2,Secundaria,Regular,10,No,100.0
S1251,17,Femenino,4.3,4.3,1.4,No,87.1,7.9,Regular,1,Master,Regular,2,No,65.2
S1252,20,Femenino,4.2,1.2,4.0,No,75.8,6.5,Regular,1,Secundaria,Buena,10,No,85.3
S1253,21,Masculino,6.7,1.4,0.9,No,100.0,8.0,Regular,4,Bachelor,Buena,2,No,93.8
S1254,17,Masculino,2.5,3.7,1.2,Si,78.6,7.8,Buena,6,Bachelor,Regular,9,No,78.8
S1255,19,Femenino,4.9,2.8,1.6,No,84.6,5.2,Buena,4,Secundaria,Regular,7,No,85.0
S1256,23,Femenino,3.6,3.2,2.7,No,90.6,5.7,Buena,0,Bachelor,Buena,6,No,64.5
S1257,22,Femenino,3.9,2.9,2.0,No,79.1,7.6,Regular,3,Master,Buena,7,No,71.0
S1258,24,Femenino,5.8,3.0,0.4,No,66.5,3.2,Regular,2,Secundaria,Regular,8,No,90.8
S1259,19,Femenino,4.3,0.9,1.2,No,80.7,6.3,Regular,4,Master,Buena,1,No,72.6
S1260,17,Masculino,4.3,3.8,1.1,No,95.3,4.8,Regular,1,Secundaria,Regular,8,No,70.9
S1261,22,Masculino,5.1,3.9,1.7,Si,81.6,5.9,Regular,0,,Mala,3,Si,65.1
S1262,21,Masculino,3.0,2.2,2.3,No,76.5,6.1,Mala,2,Master,Regular,3,No,49.1
S1263,17,Femenino,2.2,2.4,2.3,Si,94.3,6.1,Mala,5,Bachelor,Regular,6,No,62.7
S1264,19,Masculino,1.9,0.7,0.0,No,81.7,5.8,Buena,1,Master,Mala,4,No,51.5
S1265,18,Femenino,0.6,3.1,3.0,No,79.9,5.2,Buena,1,Bachelor,Buena,4,No,18.4
S1266,20,Femenino,6.6,3.2,2.1,No,86.5,9.3,Regular,5,Master,Regular,4,Si,100.0
S1267,24,Femenino,1.8,2.4,3.3,Si,92.7,8.7,Regular,3,Bachelor,Buena,10,No,53.3
S1268,23,Masculino,3.2,3.8,2.3,No,100.0,5.1,Regular,3,Bachelor,Mala,9,No,76.1
S1269,19,Femenino,3.1,2.1,3.0,No,93.3,8.4,Buena,4,Bachelor,Regular,8,No,85.6
S1270,22,Masculino,4.0,3.2,2.3,Si,96.6,6.0,Buena,4,Secundaria,Buena,3,Si,63.0
S1271,24,Femenino,4.7,1.3,3.3,Si,79.9,6.7,Buena,1,Master,Buena,1,No,73.6
S1272,24,Masculino,4.8,2.5,2.4,Si,74.7,6.4,Buena,6,Secundaria,Buena,1,No,76.2
S1273,24,Masculino,2.6,2.3,1.7,No,85.6,5.7,Regular,1,Bachelor,Buena,1,Si,45.5
S1274,17,Femenino,3.2,2.8,4.3,No,86.1,7.7,Regular,4,Secundaria,Regular,4,Si,58.6
S1275,20,Masculino,3.9,2.1,2.8,No,74.2,6.7,Regular,5,Bachelor,Regular,6,No,77.8
S1276,17,Masculino,3.1,2.3,2.4,Si,83.2,5.9,Regular,4,Secundaria,Buena,4,Si,61.5
S1277,22,Femenino,5.9,3.5,0.4,No,89.0,4.9,Buena,1,,Buena,3,No,71.4
S1278,17,Femenino,4.2,2.0,0.4,No,88.6,5.4,Regular,2,Master,Buena,8,Si,93.9
S1279,18,Femenino,4.6,0.6,2.1,No,90.0,4.5,Mala,1,Secundaria,Buena,8,No,85.9
S1280,20,Femenino,4.5,4.6,2.0,No,87.9,6.5,Regular,2,Bachelor,Buena,6,No,73.8
S1281,20,Femenino,5.3,4.2,1.1,Si,79.9,5.1,Buena,2,Secundaria,Regular,9,No,83.3
S1282,22,Masculino,3.8,0.9,2.0,Si,79.9,6.2,Regular,1,,Buena,10,No,79.7
S1283,23,Masculino,1.6,3.3,3.5,Si,73.0,8.1,Buena,6,Secundaria,Buena,1,No,47.1
S1284,18,Masculino,4.1,1.9,2.6,No,100.0,7.9,Regular,6,Bachelor,Buena,8,No,91.9
S1285,19,Femenino,2.5,2.8,0.5,Si,85.1,6.5,Mala,0,,Mala,6,Si,60.6
S1286,17,Femenino,2.7,2.9,1.7,No,82.8,6.4,Regular,4,Master,Regular,1,No,46.6
S1287,21,Masculino,4.4,2.2,0.9,No,75.7,8.8,Buena,6,Secundaria,Mala,4,Si,84.2
S1288,17,Masculino,5.4,1.6,1.4,No,100.0,7.1,Regular,3,Secundaria,Regular,5,No,95.5
S1289,24,Femenino,3.5,1.7,1.3,No,74.3,6.1,Buena,1,Secundaria,Buena,7,Si,73.5
S1290,17,Masculino,4.0,1.4,1.3,No,80.7,4.8,Regular,2,,Mala,8,No,75.9
S1291,19,Femenino,6.1,1.5,0.4,No,89.2,7.0,Mala,1,Bachelor,Regular,9,No,100.0
S1292,17,Femenino,3.9,2.4,1.7,Si,91.0,7.5,Buena,4,Master,Regular,6,Si,74.2
S1293,18,Femenino,7.4,1.6,1.2,No,94.6,5.7,Regular,5,Bachelor,Buena,10,Si,100.0
S1294,18,Masculino,4.3,3.3,0.0,No,100.0,6.8,Regular,6,Secundaria,Regular,9,No,94.9
S1295,20,Femenino,0.9,4.3,4.1,No,90.1,6.1,Buena,6,Secundaria,Regular,4,No,27.6
S1296,22,Femenino,4.6,1.8,3.0,No,74.4,6.3,Regular,6,Secundaria,Regular,8,No,86.2
S1297,23,Femenino,4.1,2.8,1.4,No,82.4,3.5,Buena,2,Master,Regular,3,No,60.1
S1298,21,Femenino,5.4,3.1,1.8,No,88.1,6.2,Mala,3,Secundaria,Regular,4,Si,91.3
S1299,24,Femenino,4.5,3.1,0.5,No,100.0,7.7,Regular,3,Bachelor,Regular,10,No,93.8
S1300,17,Femenino,3.3,2.6,3.7,No,71.0,5.7,Mala,6,Secundaria,Buena,4,Si,61.6
S1301,17,Masculino,1.7,3.4,3.9,Si,97.0,6.6,Buena,3,Secundaria,Regular,6,No,41.7
S1302,19,Femenino,3.2,3.1,2.0,No,86.8,5.6,Regular,5,Secundaria,Mala,9,No,74.5
S1303,22,Femenino,2.2,1.0,2.9,No,93.4,6.9,Buena,6,,Buena,6,No,63.7
S1304,18,Masculino,2.6,3.5,2.0,No,84.0,6.2,Buena,0,Bachelor,Regular,1,No,39.6
S1305,21,Femenino,4.4,3.6,0.3,No,76.6,5.4,Regular,2,Secundaria,Buena,5,Si,87.5
S1306,20,Femenino,6.0,1.6,1.3,No,92.5,8.1,Regular,5,Bachelor,Regular,9,No,100.0
S1307,18,Femenino,4.1,2.5,1.9,Si,91.5,7.6,Regular,2,,Buena,5,No,75.4
S1308,24,Masculino,1.7,3.3,1.3,No,94.7,5.8,Regular,6,Master,Buena,6,Si,61.5
S1309,22,Masculino,4.2,2.2,1.6,No,84.9,7.1,Regular,5,Secundaria,Buena,3,Si,73.3
S1310,24,Other,5.3,3.8,1.7,No,79.0,7.1,Buena,6,Master,Regular,8,No,96.3
S1311,23,Femenino,2.6,5.3,1.7,Si,69.4,7.3,Buena,5,Bachelor,Regular,10,No,67.0
S1312,20,Masculino,3.3,1.6,1.9,No,93.2,4.5,Buena,6,Master,Regular,4,No,70.1
S1313,23,Femenino,3.5,0.8,0.6,No,89.2,7.7,Buena,0,Secundaria,Buena,4,No,84.2
S1314,19,Femenino,2.3,2.9,1.0,No,75.3,5.8,Buena,2,Bachelor,Buena,5,Si,48.9
S1315,24,Femenino,4.5,3.4,0.4,No,79.6,6.1,Regular,5,Secundaria,Mala,10,No,98.8
S1316,19,Femenino,3.3,2.2,2.9,Si,80.3,9.7,Buena,0,Secundaria,Mala,9,No,76.1
S1317,17,Masculino,4.1,4.2,0.0,No,70.2,6.9,Buena,1,Secundaria,Regular,8,Si,80.4
S1318,23,Masculino,2.2,0.9,3.1,No,76.8,6.0,Regular,6,Secundaria,Mala,7,No,64.1
S1319,22,Masculino,2.8,3.3,3.3,No,73.7,3.9,Buena,4,Master,Regular,5,Si,59.4
S1320,24,Femenino,4.6,1.8,1.5,No,80.9,8.2,Regular,5,,Mala,9,Si,94.2
S1321,21,Masculino,2.9,4.6,0.0,Si,77.6,4.9,Buena,3,Bachelor,Buena,9,Si,67.8
S1322,20,Masculino,6.1,4.9,1.4,No,68.7,5.3,Buena,0,Bachelor,Buena,10,No,96.1
S1323,18,Masculino,2.9,1.6,1.7,No,100.0,6.1,Buena,0,Bachelor,Buena,10,No,70.2
S1324,22,Femenino,3.8,1.8,0.7,No,97.5,8.2,Regular,5,Bachelor,Regular,2,No,84.2
S1325,22,Femenino,4.9,3.5,1.2,No,77.2,7.4,Buena,0,Secundaria,Buena,4,No,75.4
S1326,19,Masculino,1.4,2.0,3.5,No,87.7,6.3,Regular,1,Bachelor,Buena,8,No,41.7
S1327,23,Masculino,0.9,2.4,2.5,No,89.2,6.9,Regular,0,Secundaria,Mala,1,No,23.1
S1328,24,Femenino,1.2,2.5,0.8,Si,96.9,5.8,Buena,4,Master,Buena,5,No,50.3
S1329,24,Masculino,5.4,0.2,0.0,No,76.8,6.7,Regular,4,Bachelor,Regular,8,No,100.0
S1330,17,Masculino,2.7,2.5,1.4,No,95.9,6.6,Buena,6,Master,Regular,2,No,52.2
S1331,17,Masculino,7.3,1.7,1.6,No,79.5,7.7,Regular,6,,Regular,2,Si,100.0
S1332,20,Masculino,2.7,1.9,2.3,No,71.6,7.7,Regular,3,Secundaria,Mala,8,No,71.2
S1333,19,Masculino,3.8,4.2,1.2,No,92.2,7.1,Buena,1,Secundaria,Buena,10,No,72.3
S1334,22,Femenino,5.8,1.0,2.4,No,97.9,6.1,Regular,4,,Regular,9,No,100.0
S1335,24,Masculino,6.5,3.5,3.9,No,100.0,7.4,Mala,5,Secundaria,Regular,7,Si,100.0
S1336,21,Femenino,6.6,2.2,2.7,No,73.0,6.4,Buena,2,Bachelor,Mala,8,Si,100.0
S1337,19,Masculino,5.3,2.2,1.7,No,92.0,5.2,Regular,2,Secundaria,Buena,5,No,93.1
S1338,20,Femenino,5.0,3.4,1.6,Si,80.9,6.0,Buena,2,Bachelor,Regular,1,Si,67.7
S1339,20,Femenino,4.4,2.9,1.4,No,92.8,6.6,Regular,6,Master,Buena,4,Si,77.9
S1340,19,Masculino,4.7,3.2,3.1,Si,70.3,7.6,Regular,5,Bachelor,Buena,2,No,80.3
S1341,20,Femenino,2.7,3.7,1.1,No,72.4,6.3,Regular,0,Secundaria,Regular,3,No,44.3
S1342,19,Masculino,2.3,2.1,1.8,No,77.2,5.0,Regular,5,Secundaria,Regular,3,No,54.7
S1343,18,Other,3.5,1.8,1.9,No,85.8,6.6,Regular,0,Secundaria,Buena,9,No,85.0
S1344,19,Masculino,3.2,1.2,1.2,No,78.6,6.6,Regular,2,Secundaria,Mala,10,Si,81.7
S1345,23,Masculino,2.8,1.5,0.3,No,91.6,6.7,Regular,3,Bachelor,Mala,4,No,71.6
S1346,19,Masculino,4.5,6.0,2.2,Si,95.3,7.6,Mala,3,Secundaria,Buena,2,Si,73.7
S1347,20,Other,4.9,4.0,1.7,No,91.0,7.7,Regular,0,Master,Regular,3,No,77.0
S1348,24,Femenino,3.6,0.9,2.4,No,100.0,5.8,Mala,2,Bachelor,Regular,3,No,72.3
S1349,23,Femenino,5.7,0.9,1.2,No,89.2,5.8,Mala,5,Bachelor,Regular,7,No,100.0
S1350,20,Masculino,1.8,3.1,3.1,No,72.8,5.3,Buena,3,Secundaria,Regular,8,No,54.0
S1351,17,Femenino,3.2,3.2,0.8,No,98.6,7.3,Buena,0,Secundaria,Buena,6,No,70.4
S1352,17,Masculino,2.4,3.2,3.7,No,78.9,8.2,Buena,5,Bachelor,Buena,4,Si,47.0
S1353,24,Femenino,0.7,2.2,0.0,No,94.1,6.1,Regular,2,Secundaria,Buena,6,No,48.7
S1354,24,Masculino,3.4,2.3,2.3,No,100.0,6.2,Buena,1,Secundaria,Buena,1,No,47.6
S1355,23,Masculino,3.3,2.9,2.3,Si,89.6,8.3,Buena,2,Secundaria,Regular,10,No,81.1
S1356,18,Masculino,5.8,2.6,0.9,Si,70.0,7.1,Buena,6,Secundaria,Regular,8,No,100.0
S1357,24,Masculino,4.4,0.0,2.3,No,75.8,7.0,Regular,2,Bachelor,Regular,1,No,81.9
S1358,17,Femenino,2.0,2.2,3.2,No,98.2,5.1,Buena,5,Secundaria,Regular,5,No,56.3
S1359,19,Masculino,6.3,1.5,0.0,No,83.3,7.3,Buena,5,Bachelor,Buena,2,Si,100.0
S1360,20,Femenino,5.3,2.7,2.4,Si,85.8,5.4,Buena,4,Secundaria,Buena,6,No,81.0
S1361,17,Masculino,4.4,6.1,0.0,No,92.6,5.1,Mala,4,Bachelor,Regular,9,Si,84.9
S1362,17,Femenino,3.2,2.9,0.7,No,92.0,6.1,Regular,5,Master,Mala,5,No,67.9
S1363,18,Masculino,2.1,2.1,3.6,No,87.8,5.8,Regular,5,Master,Mala,4,No,56.9
S1364,23,Masculino,2.9,3.6,1.2,No,82.9,6.2,Regular,1,Secundaria,Regular,2,No,45.9
S1365,23,Femenino,5.1,3.1,0.5,Si,81.9,4.8,Buena,1,,Mala,3,No,76.0
S1366,22,Masculino,6.3,3.0,1.6,No,93.6,7.7,Mala,2,Secundaria,Regular,6,Si,94.8
S1367,18,Masculino,5.8,3.2,4.1,No,90.5,7.9,Mala,6,Bachelor,Buena,8,No,99.3
S1368,19,Femenino,2.8,5.0,0.0,Si,82.4,4.2,Regular,3,Bachelor,Buena,8,No,71.0
S1369,23,Femenino,1.8,1.1,0.6,Si,95.8,7.7,Mala,6,Bachelor,Regular,5,No,70.9
S1370,20,Masculino,3.7,3.1,3.4,Si,83.7,5.5,Regular,1,Secundaria,Regular,5,Si,59.8
S1371,24,Masculino,0.8,1.4,3.8,Si,76.5,7.5,Buena,2,Bachelor,Regular,10,No,36.0
S1372,18,Femenino,4.0,3.2,1.7,No,77.4,6.4,Regular,6,Secundaria,Buena,3,No,68.4
S1373,24,Masculino,3.3,1.4,0.4,No,75.2,6.5,Mala,0,Bachelor,Buena,7,Si,72.9
S1374,17,Masculino,2.8,2.0,4.1,Si,82.3,6.3,Regular,4,Secundaria,Buena,6,No,57.3
S1375,20,Masculino,1.1,2.1,3.6,Si,97.3,8.0,Regular,6,Bachelor,Regular,1,Si,50.3
S1376,20,Femenino,4.3,3.7,2.5,No,76.9,5.0,Mala,3,,Buena,4,No,65.7
S1377,17,Femenino,2.7,3.6,0.9,No,86.9,7.2,Buena,2,Secundaria,Mala,6,Si,67.9
S1378,18,Masculino,1.7,1.0,1.7,No,78.4,7.8,Buena,6,Bachelor,Buena,6,No,63.6
S1379,17,Masculino,0.0,2.6,1.6,No,82.4,7.4,Buena,5,Secundaria,Regular,3,No,32.9
S1380,24,Masculino,3.5,1.6,2.2,No,69.9,9.3,Buena,0,Bachelor,Regular,6,No,67.7
S1381,22,Femenino,6.2,1.0,3.4,No,82.8,5.9,Mala,4,Bachelor,Buena,10,No,100.0
S1382,20,Masculino,6.0,2.2,2.8,Si,83.1,7.6,Buena,0,Bachelor,Regular,6,No,96.8
S1383,21,Masculino,2.8,2.1,0.6,No,90.4,6.4,Buena,2,Secundaria,Mala,9,Si,71.0
S1384,21,Femenino,2.6,5.4,3.3,No,87.2,8.0,Buena,1,Secundaria,Mala,9,No,59.8
S1385,24,Masculino,4.2,3.0,2.1,No,73.0,6.5,Mala,4,Bachelor,Mala,2,No,64.2
S1386,19,Femenino,2.0,0.8,2.6,No,95.8,6.0,Buena,0,Secundaria,Mala,4,No,45.2
S1387,23,Masculino,4.0,1.8,3.4,No,87.1,8.1,Buena,1,Bachelor,Mala,9,Si,82.9
S1388,17,Masculino,4.6,3.7,0.6,No,87.0,5.9,Buena,3,Secundaria,Regular,4,Si,73.2
S1389,17,Masculino,5.3,5.0,1.8,No,84.9,4.8,Mala,2,Secundaria,Regular,8,No,79.6
S1390,19,Femenino,3.3,0.6,1.2,Si,79.8,5.9,Buena,2,Secundaria,Buena,10,No,73.0
S1391,19,Femenino,3.2,0.2,0.1,Si,87.2,7.2,Buena,4,,Regular,3,No,72.6
S1392,24,Femenino,2.2,4.7,2.2,No,89.8,8.2,Buena,0,Secundaria,Mala,3,No,45.2
S1393,24,Masculino,2.3,3.0,4.6,No,67.5,6.6,Regular,3,Bachelor,Regular,9,No,51.8
S1394,19,Femenino,3.2,1.5,0.0,No,79.6,8.1,Buena,5,Bachelor,Buena,10,No,92.0
S1395,20,Masculino,4.1,3.1,1.8,No,82.5,4.9,Regular,4,Secundaria,Buena,8,No,77.8
S1396,24,Masculino,4.9,0.0,2.5,Si,87.6,6.0,Regular,5,Master,Regular,1,No,97.2
S1397,22,Femenino,2.3,2.5,1.9,Si,96.9,6.2,Regular,4,Bachelor,Buena,10,Si,71.9
S1398,24,Masculino,5.7,2.9,1.7,No,77.3,6.4,Buena,0,Master,Buena,2,Si,69.1
S1399,17,Masculino,3.1,3.6,0.4,No,80.0,6.6,Mala,3,Bachelor,Buena,3,Si,59.6
S1400,24,Masculino,3.5,1.3,2.1,No,79.9,7.3,Regular,0,Bachelor,Buena,2,No,60.4
S1401,20,Masculino,2.4,2.6,1.0,No,77.0,6.0,Buena,2,,Buena,3,Si,48.3
S1402,19,Masculino,0.0,1.4,0.0,No,81.5,6.7,Buena,5,Secundaria,Buena,8,Si,50.1
S1403,17,Femenino,4.8,2.8,3.1,No,92.7,6.4,Regular,1,,Buena,6,No,74.9
S1404,24,Masculino,4.6,1.4,2.9,Si,74.5,5.4,Buena,6,Bachelor,Regular,7,Si,85.6
S1405,20,Femenino,3.1,2.0,1.9,No,89.3,6.4,Buena,2,Secundaria,Buena,10,Si,65.4
S1406,22,Femenino,3.6,1.3,2.1,No,68.0,6.3,Mala,2,Bachelor,Buena,10,Si,82.4
S1407,24,Masculino,4.3,3.3,3.0,No,79.4,6.3,Regular,5,Secundaria,Mala,6,Si,67.3
S1408,20,Masculino,1.2,3.5,2.0,No,81.7,6.5,Mala,4,Bachelor,Buena,1,No,34.3
S1409,22,Masculino,2.7,2.2,2.8,No,100.0,6.6,Regular,2,Secundaria,Regular,3,No,53.0
S1410,19,Femenino,4.7,2.5,1.5,No,82.3,6.0,Regular,6,Secundaria,Regular,1,No,78.0
S1411,24,Masculino,1.6,0.8,3.2,Si,63.0,8.0,Buena,3,Secundaria,Buena,10,No,58.2
S1412,22,Femenino,3.9,2.1,2.2,No,65.0,5.1,Buena,2,Secundaria,Regular,9,No,73.7
S1413,17,Masculino,1.5,2.4,2.0,Si,85.3,5.6,Mala,3,Secundaria,Regular,9,No,60.3
S1414,19,Femenino,4.2,5.6,0.4,No,91.1,9.8,Mala,0,Bachelor,Mala,5,Si,78.7
S1415,17,Masculino,3.4,1.2,2.1,Si,88.8,5.3,Regular,4,,Regular,4,Si,68.3
S1416,21,Masculino,1.1,4.3,0.9,No,86.7,4.9,Regular,3,Secundaria,Regular,9,No,49.9
S1417,18,Femenino,5.2,3.7,1.1,No,96.6,7.4,Regular,2,Bachelor,Regular,9,Si,100.0
S1418,24,Femenino,2.4,2.8,0.9,No,79.6,4.0,Buena,4,,Regular,3,Si,54.7
S1419,22,Masculino,2.3,4.6,0.6,No,93.9,6.2,Buena,6,Master,Buena,5,No,58.7
S1420,18,Femenino,3.8,2.9,4.1,Si,68.7,9.1,Regular,4,Master,Buena,3,No,70.8
S1421,18,Femenino,5.2,3.0,3.3,No,76.0,4.6,Buena,3,,Mala,10,Si,87.1
S1422,22,Femenino,2.0,2.4,3.9,No,66.9,4.1,Regular,3,Secundaria,Buena,2,Si,29.5
S1423,19,Femenino,3.6,4.0,0.5,No,82.3,4.7,Buena,1,Secundaria,Mala,1,No,53.2
S1424,24,Masculino,4.1,3.8,1.9,Si,84.5,7.6,Regular,1,Bachelor,Mala,10,No,73.0
S1425,21,Masculino,4.5,1.7,0.4,No,86.1,7.8,Mala,4,Bachelor,Mala,2,Si,71.1
S1426,17,Masculino,3.8,0.9,1.0,No,85.6,5.9,Buena,5,Bachelor,Buena,8,No,80.9
S1427,20,Femenino,2.9,2.3,0.8,Si,75.7,7.3,Regular,5,Bachelor,Buena,8,No,75.1
S1428,17,Femenino,2.3,1.5,3.2,No,83.1,8.2,Buena,1,Secundaria,Regular,3,No,52.4
S1429,20,Masculino,3.6,2.4,1.4,No,70.0,8.6,Regular,2,Bachelor,Regular,7,No,67.6
S1430,17,Masculino,1.9,4.0,3.0,No,98.6,6.2,Mala,0,Bachelor,Regular,7,Si,35.7
S1431,22,Femenino,0.0,2.0,2.5,No,82.0,3.7,Mala,4,Bachelor,Regular,2,No,29.9
S1432,21,Other,4.2,2.4,4.3,No,80.1,5.5,Regular,0,Master,Buena,9,No,70.7
S1433,24,Femenino,4.9,2.6,0.2,No,100.0,6.0,Buena,1,Bachelor,Regular,3,Si,89.3
S1434,20,Masculino,0.0,3.5,3.2,No,72.6,6.2,Regular,3,Secundaria,Buena,2,No,26.2
S1435,24,Masculino,2.0,0.0,3.1,No,73.7,6.3,Buena,6,Secundaria,Regular,3,Si,58.3
S1436,24,Masculino,4.4,1.8,0.7,No,74.0,7.8,Buena,4,Secundaria,Buena,2,Si,78.4
S1437,24,Femenino,6.6,2.8,2.9,No,84.3,8.0,Buena,1,,Buena,8,No,100.0
S1438,23,Masculino,3.5,3.9,2.2,No,89.3,6.3,Regular,2,Master,Regular,5,Si,66.8
S1439,19,Femenino,2.4,1.9,1.5,No,92.4,7.8,Buena,6,Secundaria,Buena,3,No,63.8
S1440,17,Masculino,3.2,0.2,0.9,No,100.0,6.9,Regular,4,Bachelor,Buena,5,No,76.1
S1441,24,Femenino,5.6,3.2,1.0,No,62.5,6.6,Regular,4,Bachelor,Regular,8,No,82.7
S1442,17,Femenino,2.5,1.7,4.1,No,91.1,7.6,Mala,5,,Regular,7,No,65.0
S1443,24,Femenino,2.3,1.1,1.8,Si,79.4,6.6,Regular,3,Master,Buena,6,No,66.8
S1444,20,Masculino,2.8,1.8,2.7,No,79.1,9.0,Mala,4,Master,Regular,1,Si,64.9
S1445,19,Masculino,2.1,2.3,0.9,No,78.8,4.8,Buena,3,Bachelor,Mala,10,No,63.1
S1446,19,Masculino,3.7,1.8,0.9,Si,75.9,5.9,Regular,1,Secundaria,Regular,1,No,56.3
S1447,22,Femenino,5.9,0.0,3.0,No,100.0,6.3,Regular,2,Secundaria,Buena,1,Si,93.6
S1448,23,Femenino,4.0,3.6,0.3,No,93.4,7.0,Buena,6,Secundaria,Buena,10,Si,91.9
S1449,22,Femenino,3.1,4.0,1.3,No,85.2,8.0,Regular,6,Secundaria,Buena,8,Si,74.0
S1450,22,Femenino,3.1,3.3,1.8,No,98.5,6.5,Regular,2,Bachelor,Regular,8,No,62.7
S1451,22,Femenino,1.2,1.1,1.9,No,69.9,4.8,Mala,4,Master,Mala,7,No,58.6
S1452,22,Masculino,4.8,2.3,1.6,Si,71.7,7.5,Buena,4,Bachelor,Buena,6,No,89.3
S1453,22,Femenino,3.4,2.5,2.2,No,63.2,7.4,Mala,1,Master,Buena,4,No,63.4
S1454,21,Masculino,3.2,3.2,2.6,Si,78.0,4.2,Regular,5,Bachelor,Mala,1,No,46.7
S1455,19,Masculino,8.3,3.3,2.6,Si,86.6,6.5,Regular,5,Secundaria,Regular,9,No,100.0
S1456,22,Femenino,3.9,1.6,0.7,Si,86.0,4.6,Buena,5,Master,Mala,1,No,68.7
S1457,24,Masculino,2.4,2.6,1.5,No,86.5,5.7,Buena,3,Secundaria,Buena,4,No,58.9
S1458,19,Masculino,2.9,3.0,3.1,No,70.9,5.4,Buena,5,Master,Buena,3,No,59.0
S1459,19,Femenino,5.2,4.2,2.8,Si,93.0,7.5,Mala,2,Secundaria,Buena,7,No,77.9
S1460,18,Masculino,3.7,3.3,0.3,Si,87.4,6.6,Regular,6,Secundaria,Buena,5,No,72.3
S1461,21,Femenino,1.3,3.4,2.2,No,92.3,5.0,Regular,6,Master,Mala,5,No,49.7
S1462,22,Masculino,4.9,2.6,0.0,Si,66.1,7.6,Mala,3,Bachelor,Buena,4,No,80.9
S1463,17,Masculino,2.5,4.2,1.9,Si,88.1,4.8,Regular,1,Master,Buena,1,No,44.5
S1464,20,Masculino,6.3,3.0,3.9,Si,73.1,6.9,Regular,2,Master,Regular,5,No,85.3
S1465,23,Masculino,5.1,1.5,0.8,No,81.0,5.5,Regular,6,,Buena,4,No,83.2
S1466,24,Femenino,2.8,4.2,0.9,No,90.3,6.1,Buena,2,Bachelor,Regular,10,No,59.7
S1467,17,Masculino,5.4,3.3,2.6,No,85.9,7.1,Regular,6,Secundaria,Buena,8,No,98.1
S1468,21,Femenino,3.6,2.0,0.1,No,76.5,7.1,Buena,0,Bachelor,Buena,2,Si,66.8
S1469,20,Masculino,4.8,1.9,1.1,No,85.1,8.1,Regular,1,Bachelor,Buena,8,Si,96.1
S1470,21,Femenino,4.2,2.9,2.5,No,69.7,6.4,Regular,1,Secundaria,Buena,1,No,60.4
S1471,24,Femenino,2.2,3.1,1.1,No,96.5,6.9,Regular,0,Bachelor,Mala,4,No,33.8
S1472,19,Femenino,2.5,2.7,1.5,No,82.9,6.0,Mala,3,Bachelor,Regular,3,No,56.1
S1473,20,Masculino,5.0,2.9,2.6,No,96.2,6.7,Mala,6,Secundaria,Regular,5,No,80.6
S1474,19,Masculino,3.0,4.5,2.3,Si,79.7,7.0,Regular,6,Bachelor,Buena,5,No,52.6
S1475,24,Masculino,2.9,3.8,2.1,No,79.8,6.4,Buena,6,Bachelor,Buena,5,Si,52.1
S1476,17,Femenino,2.1,2.7,1.4,No,77.4,4.3,Buena,5,Master,Buena,4,Si,39.9
S1477,24,Masculino,4.1,3.6,2.2,No,93.8,6.9,Mala,5,Secundaria,Mala,8,No,84.0
S1478,17,Femenino,6.6,1.3,1.7,No,77.9,6.9,Buena,5,Secundaria,Buena,3,Si,97.7
S1479,20,Femenino,1.9,3.0,2.3,No,91.4,5.7,Buena,5,Bachelor,Buena,4,No,43.3
S1480,20,Masculino,3.5,4.7,1.3,Si,81.2,5.0,Buena,5,,Buena,1,No,55.9
S1481,22,Femenino,5.6,2.2,1.6,No,65.2,8.3,Buena,0,Master,Mala,7,No,84.6
S1482,21,Masculino,3.4,1.5,0.7,No,79.3,7.1,Regular,1,,Mala,1,No,67.0
S1483,22,Masculino,4.2,1.7,1.8,No,73.2,6.2,Regular,3,Bachelor,Mala,2,No,76.0
S1484,21,Femenino,1.9,1.2,0.9,No,85.3,5.1,Regular,2,Bachelor,Buena,7,Si,56.9
S1485,22,Femenino,4.1,1.6,0.6,No,73.1,5.5,Regular,5,Secundaria,Buena,1,No,77.5
S1486,19,Femenino,3.2,2.1,2.1,No,94.3,8.1,Regular,0,,Buena,3,No,69.4
S1487,20,Masculino,5.0,0.8,2.0,No,84.1,6.7,Regular,6,Bachelor,Regular,6,Si,94.6
